;JANVIERp;FEVRIERp;MARSp;AVRILp;MAIp;JUINp;JUILLETp;AOUTp;SEPTEMBREp;OCTOBREp;NOVEMBREp;DECEMBREp;Précipitations annuelles;JANVIERnb.j.pl;FEVRIERnb.j.pl;MARSnb.j.pl;AVRILnb.j.pl;MAInb.j.pl;JUINnb.j.pl;JUILLETnb.j.pl;AOUTnb.j.pl;SEPTEMBREnb.j.pl;OCTOBREnb.j.pl;NOVEMBREnb.j.pl;DECEMBREnb.j.pl;Nombre annuel de jours de pluie;Température moyenne annuelle;Amplitude annuelle des températures;Insolation annuelle;Latitude;Longitude;Précipitations de mai à aout;Précipitations sept-oct;Géographie
Ajaccio;78;69;51;39;43;23;10;15;43;81;105;96;653;12;10;9;9;8;4;1;2;6;10;11;13;95;14.71;14.5;2811;41.55;8.44;13.9;25.8;Sud
Angers;65;50;60;45;50;55;35;60;55;65;80;70;690;16;13;12;12;13;10;11;11;12;13;15;16;154;11.28;14.5;1899;47.28;-0.33;29;30.8;Ouest
Angoulème;79;68;64;62;70;58;53;66;69;70;79;88;826;16;14;13;12;14;11;12;12;12;13;15;16;160;12.02;14.9;1989;45.39;0.09;29.9;31;Ouest
Besançon;94;87;75;74;86;107;80;116;106;78;92;93;1088;17;14;12;14;14;14;14;13;13;14;15;15;169;10.04;17.6;1897;47.15;6.02;35.8;35.5;Est
Biarritz;128;105;98;102;100;91;69;123;155;152;175;176;1474;16;14;13;15;17;14;13;13;14;15;16;17;177;13.58;12.3;1921;43.29;-1.34;26;36.8;Ouest
Bordeaux;100;84;66;57;64;71;52;65;88;84;99;117;947;16;13;13;13;14;11;11;12;13;14;15;17;162;13.33;15.4;2076;44.5;-0.34;26.6;31.3;Ouest
Brest;130;98;89;77;74;60;51;80;95;108;136;159;1157;22;16;15;15;14;13;14;15;16;19;20;22;201;10.77;10.2;1757;48.24;-4.29;22.9;28.2;Ouest
Caen;65;61;45;44;53;52;45;57;66;75;79;71;713;17;14;12;13;14;12;13;13;13;15;16;17;169;10.45;12.7;1777;49.11;-0.21;29;35.6;Nord
Clermont-Fd;28;27;30;41;78;79;48;70;58;43;39;30;571;12;11;9;12;12;12;9;10;10;11;12;12;132;10.94;16.8;1899;45.47;3.05;48.2;51.3;Est
Dijon;62;48;51;48;68;79;44;79;74;53;67;61;734;16;13;10;11;12;12;11;11;11;12;14;14;147;10.5;18.3;1934;47.19;5.01;36.8;37.1;Est
